d,s,m,param_count
8,3,1,1022
8,3,2,1109
8,6,1,1325
8,6,2,1661
8,6,3,1997
8,6,4,2333
16,3,1,1950
16,3,2,2037
16,6,1,2301
16,6,2,2637
16,6,3,2973
16,6,4,3309
16,9,1,2814
16,9,2,3561
16,9,3,4308
16,9,4,5055
16,12,1,3489
16,12,2,4809
16,12,3,6129
16,12,4,7449
16,15,1,4326
16,15,2,6381
16,15,3,8436
16,15,4,10491
24,3,1,2878
24,3,2,2965
24,6,1,3277
24,6,2,3613
24,6,3,3949
24,6,4,4285
24,9,1,3838
24,9,2,4585
24,9,3,5332
24,9,4,6079
24,12,1,4561
24,12,2,5881
24,12,3,7201
24,12,4,8521
24,15,1,5446
24,15,2,7501
24,15,3,9556
24,15,4,11611
24,18,1,6493
24,18,2,9445
24,18,3,12397
24,18,4,15349
24,21,1,7702
24,21,2,11713
24,21,3,15724
24,21,4,19735
32,3,1,3806
32,3,2,3893
32,6,1,4253
32,6,2,4589
32,6,3,4925
32,6,4,5261
32,9,1,4862
32,9,2,5609
32,9,3,6356
32,9,4,7103
32,12,1,5633
32,12,2,6953
32,12,3,8273
32,12,4,9593
32,15,1,6566
32,15,2,8621
32,15,3,10676
32,15,4,12731
32,18,1,7661
32,18,2,10613
32,18,3,13565
32,18,4,16517
32,21,1,8918
32,21,2,12929
32,21,3,16940
32,21,4,20951
32,24,1,10337
32,24,2,15569
32,24,3,20801
32,24,4,26033
32,27,1,11918
32,27,2,18533
32,27,3,25148
32,27,4,31763
32,30,1,13661
32,30,2,21821
32,30,3,29981
32,30,4,38141
40,3,1,4734
40,3,2,4821
40,6,1,5229
40,6,2,5565
40,6,3,5901
40,6,4,6237
40,9,1,5886
40,9,2,6633
40,9,3,7380
40,9,4,8127
40,12,1,6705
40,12,2,8025
40,12,3,9345
40,12,4,10665
40,15,1,7686
40,15,2,9741
40,15,3,11796
40,15,4,13851
40,18,1,8829
40,18,2,11781
40,18,3,14733
40,18,4,17685
40,21,1,10134
40,21,2,14145
40,21,3,18156
40,21,4,22167
40,24,1,11601
40,24,2,16833
40,24,3,22065
40,24,4,27297
40,27,1,13230
40,27,2,19845
40,27,3,26460
40,27,4,33075
40,30,1,15021
40,30,2,23181
40,30,3,31341
40,30,4,39501
40,33,1,16974
40,33,2,26841
40,33,3,36708
40,33,4,46575
40,36,1,19089
40,36,2,30825
40,36,3,42561
40,36,4,54297
40,39,1,21366
40,39,2,35133
40,39,3,48900
40,39,4,62667
48,3,1,5662
48,3,2,5749
48,6,1,6205
48,6,2,6541
48,6,3,6877
48,6,4,7213
48,9,1,6910
48,9,2,7657
48,9,3,8404
48,9,4,9151
48,12,1,7777
48,12,2,9097
48,12,3,10417
48,12,4,11737
48,15,1,8806
48,15,2,10861
48,15,3,12916
48,15,4,14971
48,18,1,9997
48,18,2,12949
48,18,3,15901
48,18,4,18853
48,21,1,11350
48,21,2,15361
48,21,3,19372
48,21,4,23383
48,24,1,12865
48,24,2,18097
48,24,3,23329
48,24,4,28561
48,27,1,14542
48,27,2,21157
48,27,3,27772
48,27,4,34387
48,30,1,16381
48,30,2,24541
48,30,3,32701
48,30,4,40861
48,33,1,18382
48,33,2,28249
48,33,3,38116
48,33,4,47983
48,36,1,20545
48,36,2,32281
48,36,3,44017
48,36,4,55753
48,39,1,22870
48,39,2,36637
48,39,3,50404
48,39,4,64171
48,42,1,25357
48,42,2,41317
48,42,3,57277
48,42,4,73237
48,45,1,28006
48,45,2,46321
48,45,3,64636
48,45,4,82951
56,3,1,6590
56,3,2,6677
56,6,1,7181
56,6,2,7517
56,6,3,7853
56,6,4,8189
56,9,1,7934
56,9,2,8681
56,9,3,9428
56,9,4,10175
56,12,1,8849
56,12,2,10169
56,12,3,11489
56,12,4,12809
56,15,1,9926
56,15,2,11981
56,15,3,14036
56,15,4,16091
56,18,1,11165
56,18,2,14117
56,18,3,17069
56,18,4,20021
56,21,1,12566
56,21,2,16577
56,21,3,20588
56,21,4,24599
56,24,1,14129
56,24,2,19361
56,24,3,24593
56,24,4,29825
56,27,1,15854
56,27,2,22469
56,27,3,29084
56,27,4,35699
56,30,1,17741
56,30,2,25901
56,30,3,34061
56,30,4,42221
56,33,1,19790
56,33,2,29657
56,33,3,39524
56,33,4,49391
56,36,1,22001
56,36,2,33737
56,36,3,45473
56,36,4,57209
56,39,1,24374
56,39,2,38141
56,39,3,51908
56,39,4,65675
56,42,1,26909
56,42,2,42869
56,42,3,58829
56,42,4,74789
56,45,1,29606
56,45,2,47921
56,45,3,66236
56,45,4,84551
56,48,1,32465
56,48,2,53297
56,48,3,74129
56,48,4,94961
56,51,1,35486
56,51,2,58997
56,51,3,82508
56,51,4,106019
56,54,1,38669
56,54,2,65021
56,54,3,91373
56,54,4,117725
64,3,1,7518
64,3,2,7605
64,6,1,8157
64,6,2,8493
64,6,3,8829
64,6,4,9165
64,9,1,8958
64,9,2,9705
64,9,3,10452
64,9,4,11199
64,12,1,9921
64,12,2,11241
64,12,3,12561
64,12,4,13881
64,15,1,11046
64,15,2,13101
64,15,3,15156
64,15,4,17211
64,18,1,12333
64,18,2,15285
64,18,3,18237
64,18,4,21189
64,21,1,13782
64,21,2,17793
64,21,3,21804
64,21,4,25815
64,24,1,15393
64,24,2,20625
64,24,3,25857
64,24,4,31089
64,27,1,17166
64,27,2,23781
64,27,3,30396
64,27,4,37011
64,30,1,19101
64,30,2,27261
64,30,3,35421
64,30,4,43581
64,33,1,21198
64,33,2,31065
64,33,3,40932
64,33,4,50799
64,36,1,23457
64,36,2,35193
64,36,3,46929
64,36,4,58665
64,39,1,25878
64,39,2,39645
64,39,3,53412
64,39,4,67179
64,42,1,28461
64,42,2,44421
64,42,3,60381
64,42,4,76341
64,45,1,31206
64,45,2,49521
64,45,3,67836
64,45,4,86151
64,48,1,34113
64,48,2,54945
64,48,3,75777
64,48,4,96609
64,51,1,37182
64,51,2,60693
64,51,3,84204
64,51,4,107715
64,54,1,40413
64,54,2,66765
64,54,3,93117
64,54,4,119469
64,57,1,43806
64,57,2,73161
64,57,3,102516
