d,s,m,param_count
56,27,1,15854
56,27,2,22469
56,27,3,29084
56,27,4,35699
56,30,1,17741
56,30,2,25901
56,30,3,34061
56,30,4,42221
56,33,1,19790
56,33,2,29657
56,33,3,39524
56,33,4,49391
56,36,1,22001
56,36,2,33737
56,36,3,45473
56,36,4,57209
56,39,1,24374
56,39,2,38141
56,39,3,51908
56,39,4,65675
56,42,1,26909
56,42,2,42869
56,42,3,58829
56,42,4,74789
56,45,1,29606
56,45,2,47921
56,45,3,66236
56,45,4,84551
56,48,1,32465
56,48,2,53297
56,48,3,74129
56,48,4,94961
56,51,1,35486
56,51,2,58997
56,51,3,82508
56,51,4,106019
56,54,1,38669
56,54,2,65021
56,54,3,91373
56,54,4,117725
64,3,1,7518
64,3,2,7605
64,6,1,8157
64,6,2,8493
64,6,3,8829
64,6,4,9165
64,9,1,8958
64,9,2,9705
64,9,3,10452
64,9,4,11199
64,12,1,9921
64,12,2,11241
64,12,3,12561
64,12,4,13881
64,15,1,11046
64,15,2,13101
64,15,3,15156
64,15,4,17211
64,18,1,12333
64,18,2,15285
64,18,3,18237
64,18,4,21189
64,21,1,13782
64,21,2,17793
64,21,3,21804
64,21,4,25815
64,24,1,15393
64,24,2,20625
64,24,3,25857
64,24,4,31089
64,27,1,17166
64,27,2,23781
64,27,3,30396
64,27,4,37011
64,30,1,19101
64,30,2,27261
64,30,3,35421
64,30,4,43581
64,33,1,21198
64,33,2,31065
64,33,3,40932
64,33,4,50799
64,36,1,23457
64,36,2,35193
64,36,3,46929
64,36,4,58665
64,39,1,25878
64,39,2,39645
64,39,3,53412
64,39,4,67179
64,42,1,28461
64,42,2,44421
64,42,3,60381
64,42,4,76341
64,45,1,31206
64,45,2,49521
64,45,3,67836
64,45,4,86151
64,48,1,34113
64,48,2,54945
64,48,3,75777
64,48,4,96609
64,51,1,37182
64,51,2,60693
64,51,3,84204
64,51,4,107715
64,54,1,40413
64,54,2,66765
64,54,3,93117
64,54,4,119469
64,57,1,43806
64,57,2,73161
64,57,3,102516
